"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050022,MSPB-1,1.050855,,01/01/2018,12/31/2018
050024,MSPB-1,1.089654,,01/01/2018,12/31/2018
050025,MSPB-1,0.993285,,01/01/2018,12/31/2018
050026,MSPB-1,1.013839,,01/01/2018,12/31/2018
050028,MSPB-1,0.886904,,01/01/2018,12/31/2018
050030,MSPB-1,0.823731,,01/01/2018,12/31/2018
050036,MSPB-1,0.991709,,01/01/2018,12/31/2018
050038,MSPB-1,1.018315,,01/01/2018,12/31/2018
050039,MSPB-1,0.955308,,01/01/2018,12/31/2018
050040,MSPB-1,0.847842,,01/01/2018,12/31/2018
050042,MSPB-1,0.919288,,01/01/2018,12/31/2018
050043,MSPB-1,1.000827,,01/01/2018,12/31/2018
050045,MSPB-1,0.936497,,01/01/2018,12/31/2018
050047,MSPB-1,0.950749,,01/01/2018,12/31/2018
050054,MSPB-1,1.030993,,01/01/2018,12/31/2018
050055,MSPB-1,0.914243,,01/01/2018,12/31/2018
050056,MSPB-1,1.016566,,01/01/2018,12/31/2018
050057,MSPB-1,0.959339,,01/01/2018,12/31/2018
050058,MSPB-1,1.085191,,01/01/2018,12/31/2018
050060,MSPB-1,0.990936,,01/01/2018,12/31/2018
050063,MSPB-1,1.129773,,01/01/2018,12/31/2018
050067,MSPB-1,0.847144,,01/01/2018,12/31/2018
050069,MSPB-1,0.998247,,01/01/2018,12/31/2018
050070,MSPB-1,0.784080,,01/01/2018,12/31/2018
050071,MSPB-1,0.884551,,01/01/2018,12/31/2018
050072,MSPB-1,0.686096,,01/01/2018,12/31/2018
050073,MSPB-1,0.888742,,01/01/2018,12/31/2018
050075,MSPB-1,0.975274,,01/01/2018,12/31/2018
050076,MSPB-1,0.925857,,01/01/2018,12/31/2018
050077,MSPB-1,1.037847,,01/01/2018,12/31/2018
050078,MSPB-1,0.982938,,01/01/2018,12/31/2018
050082,MSPB-1,0.957816,,01/01/2018,12/31/2018
050084,MSPB-1,0.976801,,01/01/2018,12/31/2018
050089,MSPB-1,1.172042,,01/01/2018,12/31/2018
050090,MSPB-1,0.903008,,01/01/2018,12/31/2018
050091,MSPB-1,1.025640,,01/01/2018,12/31/2018
050093,MSPB-1,0.977320,,01/01/2018,12/31/2018
050096,MSPB-1,1.530869,,01/01/2018,12/31/2018
